14/10/2025 00:56:15 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 683 min
14/10/2025 00:56:15 | INFO | 📥 Forçando atualização...
14/10/2025 00:56:15 | INFO | ✅ Atualização iniciada:
14/10/2025 00:56:15 | INFO |    - Calendário: updating (CSV)
14/10/2025 00:56:15 | INFO |    - Notícias: updating
14/10/2025 00:56:15 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 00:56:15 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 01:06:15 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 01:06:15 | INFO | 📍 Ciclo #7 - 14/10/2025 01:06:15
14/10/2025 01:06:15 | INFO | ✅ Servidor está online
14/10/2025 01:06:15 | INFO | 📊 Status do Servidor:
14/10/2025 01:06:15 | INFO |    - Total de sinais: 0
14/10/2025 01:06:15 | INFO |    - Chamadas API hoje: 12/488 restantes
14/10/2025 01:06:15 | INFO |    - Eventos em cache: 9
14/10/2025 01:06:15 | INFO |    - Notícias em cache: 0
14/10/2025 01:06:15 | INFO |    - Sentimento: NEUTRAL
14/10/2025 01:06:15 | INFO |    - Próximo evento: Fed Chair Powell Speaks em 673 min
14/10/2025 01:06:15 | INFO | 📥 Forçando atualização...
14/10/2025 01:06:15 | INFO | ✅ Atualização iniciada:
14/10/2025 01:06:15 | INFO |    - Calendário: updating (CSV)
14/10/2025 01:06:15 | INFO |    - Notícias: updating
14/10/2025 01:06:15 | INFO | ⏳ Próxima atualização em 10 minutos
14/10/2025 01:06:15 | INFO | ═══════════════════════════════════════════════════════════════

14/10/2025 01:16:15 | INFO | ═══════════════════════════════════════════════════════════════
14/10/2025 01:16:15 | INFO | 📍 Ciclo #8 - 14/10/2025 01:16:15
14/10/2025 01:16:15 | INFO | ✅ Servidor está online
14/10/2025 01:16:15 | INFO | 📊 Status do Servidor:
14/10/2025 01:16:15 | INFO |    - Total de sinais: 0
14/10/2025 01:16:15 | INFO |    - Chamadas API hoje: 13/487 restantes
14/10/2025 01:16:15 | INFO |    - Eventos em cache: 9
14/10/2025 01:16:15 | INFO |    - Notícias em cache: 0
